Trx,FPKM_mean_F,Linkage
CAF2740053.1,0.818146333333333,Auto
CAF2740066.1,0,Auto
CAF2740080.1,0.1611745,Auto
CAF2740095.1,11.30953,Auto
CAF2740109.1,16.9298666666667,Auto
CAF2740123.1,11.9804966666667,Auto
CAF2740137.1,0.6302286,Auto
CAF2740151.1,23.065843,Auto
CAF2740165.1,24.788879,Auto
CAF2740179.1,11.0643577666667,Auto
CAF2740193.1,2.04902333333333,Auto
CAF2740207.1,0.736836666666667,Auto
CAF2740221.1,0.0180795,Auto
CAF2740235.1,3.1686565,Auto
CAF2740249.1,29.2231266666667,Auto
CAF2740266.1,89.91175,Auto
CAF2740363.1,34.3968833333333,Auto
CAF2740377.1,10.7920283333333,Auto
CAF2740391.1,0.182697666666667,Auto
CAF2740405.1,7.05100376666667,Auto
CAF2740419.1,112.194316666667,Auto
CAF2740486.1,0.0478385,Auto
CAF2740499.1,0.0513358333333333,Auto
CAF2740512.1,0.051493,Auto
CAF2740525.1,0.23328,Auto
CAF2740533.1,0,Auto
CAF2740546.1,35.1737833333333,Auto
CAF2740581.1,4.3305595,Z
CAF2740595.1,5.45402783333333,Z
CAF2740629.1,4.85348166666667,Auto
CAF2740637.1,15.378535,Auto
CAF2740650.1,39.2017366666667,Auto
CAF2740664.1,30.0073166666667,Auto
CAF2740676.1,0.0179073728906667,Auto
CAF2740691.1,27.8211,Auto
CAF2740705.1,7.72880333333333,Auto
CAF2740724.1,2.19605016666667,Auto
CAF2740736.1,1.07878366666667,Auto
CAF2740798.1,9.749105,Z
CAF2740811.1,7.26437833333333,Z
CAF2740828.1,0,Z
CAF2740842.1,0,Z
CAF2740874.1,11.10183,Auto
CAF2740887.1,5.63521766666667,Auto
CAF2740900.1,0.594450333333333,Auto
CAF2740915.1,0.136568333333333,Auto
CAF2740930.1,0,Auto
CAF2740943.1,9.36035133333333,Auto
CAF2740955.1,72.4721666666667,Auto
CAF2740970.1,26.3158666666667,Auto
CAF2740982.1,1.79440066666667,Auto
CAF2740984.1,13.7338383333333,Auto
CAF2741002.1,1.0782935,Auto
CAF2741054.1,35.2641066666667,Z
CAF2741069.1,11.9425695,Z
CAF2741081.1,20.936515,Z
CAF2741094.1,17.729285,Z
CAF2741110.1,0.4531035,Z
CAF2741122.1,26.0258583333333,Z
CAF2741134.1,830.638166666667,Z
CAF2741146.1,2.45160833333333,Z
CAF2741159.1,411.417033333333,Z
CAF2741170.1,82.2941833333333,Z
CAF2741182.1,121.7545385,Z
CAF2741196.1,2.13087483333333,Z
CAF2741380.1,0.6742445,Auto
CAF2741392.1,12.05546,Auto
CAF2741404.1,1.36015083333333,Auto
CAF2741416.1,62.1067183333333,Auto
CAF2741428.1,11.2512683333333,Auto
CAF2741441.1,17.0720933333333,Auto
CAF2741454.1,0,Auto
CAF2741464.1,0,Auto
CAF2741486.1,18.99303,Z
CAF2741501.1,2.48277,Z
CAF2741527.1,31.1199,Z
CAF2741560.1,0.0327621666666667,Auto
CAF2741573.1,0,Auto
CAF2741585.1,0.448782683333333,Auto
CAF2741598.1,0.646039333333333,Auto
CAF2741611.1,0.8633955,Auto
CAF2741623.1,1.73035766666667,Auto
CAF2741635.1,0.351383166666667,Auto
CAF2741664.1,1.04120816666667,Auto
CAF2741676.1,14.9043333333333,Auto
CAF2741688.1,0.03967605,Auto
CAF2741700.1,22.9996216666667,Auto
CAF2741712.1,202.575666666667,Auto
CAF2741724.1,21.4309683333333,Auto
CAF2741737.1,24.06966,Auto
CAF2741778.1,0.254765666666667,Auto
CAF2741788.1,0,Auto
CAF2741800.1,20.4931341666667,Auto
CAF2741812.1,15.526425,Auto
CAF2741824.1,2.53623416666667,Auto
CAF2741836.1,0.3642805,Auto
CAF2741848.1,0.608470983333333,Auto
CAF2741860.1,0.288657166666667,Auto
CAF2741872.1,0.07508,Auto
CAF2741908.1,2.19476333333333,Auto
CAF2741920.1,0,Auto
CAF2741931.1,0.0828735,Auto
CAF2741943.1,12.3417366666667,Auto
CAF2741955.1,10.2728,Auto
CAF2741967.1,7.91160666666667,Auto
CAF2741978.1,10.4698716666667,Auto
CAF2741990.1,13.7894733333333,Auto
CAF2742002.1,2.59928183333333,Auto
CAF2742016.1,14.3049050194558,Auto
CAF2742032.1,148.840383333333,Auto
CAF2742042.1,15.536655,Auto
CAF2742054.1,11.5953088333333,Auto
CAF2742069.1,0.265930166666667,Auto
CAF2742081.1,11.694245,Auto
CAF2742093.1,83.5731833333333,Auto
CAF2742252.1,3.23988,Auto
