Trx,FPKM_mean_M,Linkage
CAF2740053.1,1.20052633333333,Auto
CAF2740066.1,0.0251327833333333,Auto
CAF2740080.1,0.304882333333333,Auto
CAF2740095.1,11.7695848333333,Auto
CAF2740109.1,16.7221566666667,Auto
CAF2740123.1,9.05990833333333,Auto
CAF2740137.1,0.192846666666667,Auto
CAF2740151.1,372.848013833333,Auto
CAF2740165.1,468.197564666667,Auto
CAF2740179.1,214.671728666667,Auto
CAF2740193.1,7.03255416666667,Auto
CAF2740207.1,2.18237166666667,Auto
CAF2740221.1,0.135789,Auto
CAF2740235.1,2.94980666666667,Auto
CAF2740249.1,40.9232666666667,Auto
CAF2740266.1,47.3125333333333,Auto
CAF2740363.1,64.6975833333333,Auto
CAF2740377.1,10.23706,Auto
CAF2740391.1,1.07237416666667,Auto
CAF2740405.1,4.94821716666667,Auto
CAF2740419.1,61.08805,Auto
CAF2740486.1,0.135877666666667,Auto
CAF2740499.1,0.0117634666666667,Auto
CAF2740512.1,0.114639416666667,Auto
CAF2740525.1,0.2732185,Auto
CAF2740533.1,0.622466666666667,Auto
CAF2740546.1,21.4091683333333,Auto
CAF2740581.1,11.0390413333333,Z
CAF2740595.1,6.165055,Z
CAF2740629.1,2.41069333333333,Auto
CAF2740637.1,17.4022233333333,Auto
CAF2740650.1,68.1464716666667,Auto
CAF2740664.1,33.8133833333333,Auto
CAF2740676.1,2.17992636783333e-05,Auto
CAF2740691.1,30.2811,Auto
CAF2740705.1,7.445305,Auto
CAF2740724.1,7.29435,Auto
CAF2740736.1,0.885881666666667,Auto
CAF2740798.1,14.4693166666667,Z
CAF2740811.1,7.60988833333333,Z
CAF2740828.1,0,Z
CAF2740842.1,0.0345815,Z
CAF2740874.1,16.88364,Auto
CAF2740887.1,4.32721266666667,Auto
CAF2740900.1,0.250740333333333,Auto
CAF2740915.1,0.2773355,Auto
CAF2740930.1,0.30821,Auto
CAF2740943.1,8.41385833333333,Auto
CAF2740955.1,76.5381666666667,Auto
CAF2740970.1,45.09675,Auto
CAF2740982.1,2.23925066666667,Auto
CAF2740984.1,206.268071666667,Auto
CAF2741002.1,6.03111795,Auto
CAF2741054.1,57.3333166666667,Z
CAF2741069.1,23.8049968333333,Z
CAF2741081.1,19.9086866666667,Z
CAF2741094.1,17.8021666666667,Z
CAF2741110.1,1.3822045,Z
CAF2741122.1,35.5823666666667,Z
CAF2741134.1,1283.94666666667,Z
CAF2741146.1,7.31866666666667,Z
CAF2741159.1,0.807134833333333,Z
CAF2741170.1,0.2827095,Z
CAF2741182.1,0.412289333333333,Z
CAF2741196.1,0,Z
CAF2741380.1,0.4771665,Auto
CAF2741392.1,13.67628415,Auto
CAF2741404.1,0.880713666666667,Auto
