Gene,Dn,Ds,Pn,Ps,Pn.1,Ps.1,Pn.2,Ps.2,Pn.3,Ps.3,Pn.4,Ps.4,Pn.5,Ps.5,Pn.6,Ps.6,Pn.7,Ps.7,Pn.8,Ps.8,Pn.9,Ps.9
LSAA_10,13,27,5,1,5,1,4,0,3,0,3,0,2,0,2,0,1,0,0,0,0,0
LSAA_100,35,48,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7
LSAA_1000,1,24,2,3,2,3,1,3,1,2,1,2,1,2,1,2,1,0,1,0,1,0
LSAA_10000,41,63,2,7,2,7,1,5,1,3,1,3,1,3,1,3,1,3,1,3,1,3
LSAA_10001,8,55,0,4,0,4,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10002,48,155,7,21,7,20,3,16,3,15,2,14,2,14,2,14,2,9,2,8,2,6
LSAA_10003,62,181,16,30,16,30,7,19,5,14,5,13,5,13,5,13,5,13,5,12,3,10
LSAA_10004,26,54,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10006,58,176,8,7,7,7,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0
LSAA_10008,23,34,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0
LSAA_1001,16,54,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10010,14,42,10,7,9,7,7,5,6,5,6,5,6,5,6,5,6,5,6,5,4,2
LSAA_10012,10,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LSAA_10013,76,138,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
LSAA_10014,67,116,8,6,4,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
LSAA_1002,12,8,2,3,2,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
LSAA_10020,22,85,3,7,3,7,3,7,3,7,2,6,2,1,2,1,2,1,2,1,1,0
LSAA_10021,27,69,4,14,4,14,1,7,1,7,1,7,1,6,1,6,0,6,0,5,0,1
LSAA_10022,39,75,9,19,9,18,6,10,2,2,1,2,1,2,1,2,1,2,1,2,1,2
LSAA_10023,16,44,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1
LSAA_10024,8,23,6,5,6,5,5,3,1,3,1,3,1,3,1,3,1,2,1,2,1,2
LSAA_10025,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSAA_10027,50,84,15,7,15,7,3,5,3,5,3,5,1,2,1,2,1,2,1,2,1,2
