Gene,Scaffold,Syn.sites,Non.sites,Linkage,SPM.F,SPM.Bias
LSAA_1,CAJNVT010000001.1,214.6666667,673.3333333,A,0.017418558,Male
LSAA_10,CAJNVT010000001.1,279.3333333,893.6666667,A,0.636184581,Unbiased
LSAA_100,CAJNVT010000015.1,217.6666667,799.3333333,A,0.333760471,Unbiased
LSAA_1000,HG994580.1,88.66666667,343.3333333,A,0.291965717,Unbiased
LSAA_10000,HG994584.1,190,641,A,0.471573694,Unbiased
LSAA_10001,HG994584.1,152.3333333,507.6666667,A,0.534326893,Unbiased
LSAA_10002,HG994584.1,240.3333333,851.6666667,A,0.222287261,Unbiased
LSAA_10003,HG994584.1,752.6666667,2709.333333,A,0.368341252,Unbiased
LSAA_10004,HG994584.1,122,385,A,0.13874837,Male
LSAA_10005,HG994584.1,248,889,A,0.425660388,Unbiased
LSAA_10006,HG994584.1,113,442,A,0.417017526,Unbiased
LSAA_10007,HG994584.1,929.3333333,3501.666667,A,0.575942753,Unbiased
LSAA_10008,HG994584.1,60,240,A,0.220095969,Unbiased
LSAA_10009,HG994584.1,92.33333333,360.6666667,A,0.51853056,Unbiased
LSAA_1001,HG994580.1,767,2713,A,0.073185963,Male
LSAA_10010,HG994584.1,236.3333333,831.6666667,A,0.305788768,Unbiased
LSAA_10011,HG994584.1,571.3333333,2005.666667,A,0.117623457,Male
LSAA_10012,HG994584.1,258.3333333,860.6666667,A,0.158463676,Male
LSAA_10013,HG994584.1,214,773,A,0.458336464,Unbiased
LSAA_10014,HG994584.1,88.66666667,334.3333333,A,0.106183008,Male
LSAA_10015,HG994584.1,78.66666667,299.3333333,A,NA,Unbiased
LSAA_10016,HG994584.1,342,1194,A,0.340528835,Unbiased
LSAA_10017,HG994584.1,94.33333333,316.6666667,A,NA,Unbiased
LSAA_10018,HG994584.1,128,490,A,0.553219684,Unbiased
LSAA_10019,HG994584.1,75,273,A,1,Female
LSAA_1002,HG994580.1,537.6666667,2018.333333,A,0.610622255,Unbiased
LSAA_10020,HG994584.1,66.33333333,248.6666667,A,0.084013079,Male
LSAA_10021,HG994584.1,120,426,A,0.25030981,Unbiased
LSAA_10022,HG994584.1,348.3333333,1217.666667,A,0.00031991,Male
LSAA_10023,HG994584.1,105,303,A,0.245049661,Unbiased
LSAA_10024,HG994584.1,344,1159,A,0.305570612,Unbiased
LSAA_10025,HG994584.1,226,824,A,0.273977192,Unbiased
LSAA_10026,HG994584.1,106,377,A,0.08539432,Male
LSAA_10027,HG994584.1,194.6666667,666.3333333,A,0.574820484,Unbiased
LSAA_10028,HG994584.1,221.3333333,777.6666667,A,0.520147613,Unbiased
LSAA_10029,HG994584.1,296.3333333,1065.666667,A,0.42187546,Unbiased
LSAA_1003,HG994580.1,181.3333333,673.6666667,A,0,Male
LSAA_10030,HG994584.1,318.3333333,1184.666667,A,0.403619426,Unbiased
LSAA_10031,HG994584.1,72.33333333,269.6666667,A,0.214493882,Unbiased
LSAA_10032,HG994584.1,369.3333333,1118.666667,A,0.020117844,Male
LSAA_10033,HG994584.1,109.6666667,403.3333333,A,0.303680175,Unbiased
LSAA_10034,HG994584.1,491.6666667,1818.333333,A,0,Male
LSAA_10035,HG994584.1,300.3333333,1154.666667,A,0.255149188,Unbiased
LSAA_10036,HG994584.1,309.6666667,1046.333333,A,0.211453673,Unbiased
